slang,formal
suwi,lama
sipitan,lebih sipit
soft,lembut
sorry,maaf
snack,makanan ringan
snek,makanan ringan
society,masyarakat
sosayeti,masyarakat
sosmed,media sosial
sistemik,mempengaruhi seluruh sistem
tandingi,menandingi
tangisi,menangisi
skripsian,mengerjakan skripsi
showeran,menggunakan shower
sikapi,menyikapi
stray,menyimpang
sofil,mesofil
sminimal,minimal
supporternya,pendukungnya
striker,penyerang
statemen,pernyataan
statement,pernyataan
steitmen,pernyataan
statementny,pernyataannya
stock,persediaan
stocknya,persediaannya
singgahan,persinggahan
smart,pintar
spuas,puas
shaum,puasa
shah,sah
ssham,saham
shahih,sahih
slaahin,salahkan
slaam,salam
shalat,salat
shalatu,salat
sholat,salat
shalatjumat,salat jumat
soljum,salat jumat
shaleh,saleh
shalih,saleh
sholeh,saleh
soleh,saleh
spg,sales promotion girl
soleha,salihah
solehah,salihah
shallallaahu,sallallahu alaihi wasallam
smaa,sama
smpah,sampah
smpek,sampai
sonoh,sana
songo,sanga
sngat,sangat
snge,sange
sodar,saudara
soudara,saudara
sodaranya,saudaranya
syaa,saya
syang,sayang
ss,screenshoot
sodakoh,sedekah
shrnya,seharusnya
shrs,seharusnya
shrsnya,seharusnya
shg,sehingga
shingga,sehingga
since,sejak
sjk,sejak
sjrah,sejarah
sjumlah,sejumlah
skdr,sekadar
skak,sekak
skakmat,sekakmat
skl,sekali
skli,sekali
sisan,sekalian
skaligus,sekaligus
sklgs,sekaligus
sklinya,sekalinya
skng,sekarang
skian,sekian
skt,sekitar
sktr,sekitar
skulah,sekolah
swkolah,sekolah
smk,sekolah menengah kejuruan
slain,selain
slama,selama
slma,selama
shalawat,selawat
slengkapnya,selengkapnya
slsai,selesai
slesaikan,selesaikan
slsaikan,selesaikan
slrh,seluruh
slruh,seluruh
slusup,selusup
smkin,semakin
smkn,semakin
ssemangatpagi,semangat pagi
smasa,semasa
smaunya,semaunya
smntara,sementara
smntra,sementara
smntarany,sementaranya
smestinya,semestinya
smpurna,sempurna
sumingrah,semringah
smanya,semuanya
skj,senam kesehatan jasmani
smirk,senyum menyeringai
spanjang,sepanjang
sparatis,separatis
spemkiirannya,sepemikiranya
speti,seperti
sprtinya,sepertinya
sptnya,sepertinya
sptr,seputar
syarwan,seriawan
sring,sering
shm,sertifikat hak milik
sruput,seruput
ssk,sesak
ssat,sesat
ssuai,sesuai
stb,set top box
syaiton,setan
syaitonn,setan
syetan,setan
syetann,setan
stimpal,setimpal
stir,setir
stuju,setuju
syallom,shalom
sif,shift
siha,shihab
sihab,shihab
syihaab,shihab
syihab,shihab
sholaatu,sholatu
sholah,sholatu
sianying,si anjing
sianu,si anu
sibabi,si babi
sibayik,si bayi
sicario,si cario
sicepat,si cepat
sicepatberkualitas,si cepat berkualitas
sindut,si gendut
sigoblok,si goblok
sikribo,si kribo
simulut,si mulut
sipenista,si penista
sireena,si reena
sitante,si tante
siaall,sial
siall,sial
siel,sial
syial,sial
sialaan,sialan
siaap,siap
siapp,siap
siyaap,siap
siyaph,siap
siapsableng,siap sableng
siape,siapa
siapaaniessandi,siapa anies sandi
siapepun,siapapun
sidangahok,sidang ahok
shiddiq,sidik
shidiq,sidik
siddiq,sidik
sidomuncul,sido muncul
sidoharjo,sidoarjo
sidogirimedia,sidogiri media
sifatnys,sifatnya
silipis,sifilis
sihh,sih
sii,sih
siichh,sih
sik,sih
sikapny,sikapnya
sikahkan,silahkan
silahkan,silakan
sihite,silit
silvi,silvy
silvyy,silvy
simakrama,sima krama
symphony,simfoni
sinaronline,sinar online
sndr,sindir
sindroma,sindrom
syndrome,sindrom
singo,singa
singapore,singapura
singapur,singapura
sinbiy,sinis
signal,sinyal
sib,sip
sifit,sipit
sipitin,sipit
systeamnya,sistemnya
systemnya,sistemnya
sisturr,sister
stu,situ
sikon,situasi kondisi
skillab,skill lab
sleeves,sleeve
smashblast,smash blast
smashisback,smash is back
smswa,sms whats app
soklin,so klin
somin,so min
sidomi,sodomi
sodorin,sodori
suharto,soeharto
sukano,soekarno
sukarno,soekarno
soekarnoputri,soekarno putri
sukarnoputri,soekarno putri
soignã,soigne
sotipu,sok menipu
sotau,sok tau
sotooy,sok tau
sotta,sok tau
solerout,soler out
ssd,solid state drive
solvability,solvabilitas
soplak,somplak
sooman,soo man
soonyoung,soon young
sorre,sore
social,sosial
sosialâ malaysia,sosialita malaysia
sovyet,soviet
special,spesial
spesis,spesies
specific,spesifik
specifik,spesifik
spek,spesifikasi
spiderman,spider man
spidermen,spider man
spiritofdiversity,spirit for diversity
spiritgn,spirit gebyar nusantara
sportifitas,sportivitas
srimulyani,sri mulyani
sriyonoyn,sri yono
sstt,sst
stabilkan,stabilkan
staff,staf
stafsus,staf khusus
stagan,stagnan
standup,stand up
staguf,staquf
strabuck,starbucks
sta,stasiun
statust,status
stereotif,stereotip
stereotipenya,stereotipnya
stophoax,stop hoaks
strategicactionteam,strategic action team
stress,stres
striped,stripped
stoke,strok
stroke,strok
swt,subhanahu wa taala
subsidisilangkonten,subsidi silang konten
subu,subuh
sudahq,sudah
sudirmanida,sudirman ida
sudrajatsyaikhu,sudrajat syaikhu
skaa,suka
sukak,suka
suke,suka
syukaa,suka
sukanyaa,sukanya
sukmo,sukma
sukamwati,sukmawati
sukmakumati,sukmawati
sukmawati,sukmawati
success,sukses
suksreb,sukses
sukubangsa,suku bangsa
slusap,sulap
sulawasi,sulawesi
sulsel,sulawesi selatan
sulteng,sulawesi tengah
sulidd,sulit
sultans,sultan
sumater,sumatra
sumatera,sumatra
sumsel,sumatra selatan
sumut,sumatra utara
sumutbersih,sumatra utara bersih
sumpa,sumpah
sumpaah,sumpah
swear,sumpah
sundel,sundal
sungailiat,sungai liat
sunggu,sungguh
suparj,suparji
superâ,super
superr,super
supper,super
suju,super junior
superketat,super ketat
superiorprinting,superior printing
suply,supply
suroboyo,surabaya
surambray,suram bro
sk,surat keputusan
sko,surat keputusan otorisasi
spt,surat pemberitahuan tahunan
spj,surat pertanggungjawaban
surg,surga
sriâ,suriah
syria,suriah
syriac,suriah
suru,suruh
survey,survei
sshh,susah
susehh,susah
sush,susah
susih,susah
susiâ,susi
susy,susi
subeye,susilo bambang yudhoyono
suudzon,suuzan
suuzon,suuzan
swamsembada,swasembada
sweping,sweeping
switi,sweety
syafi,syafii
syafie,syafii
sjafruddin,syafruddin
syaikhu,syaikhona
syaykhunaa,syaikhuna
syaitanir,syaithanir
syakri,syakir
sjamsuddin,syamsuddin
syamsudin,syamsuddin
syaret,syarat
syari,syariat
syariah,syariat
syariahwealthcoach,syariat wealth coach
sheikh,syekh
syeikh,syekh
shi,syiah
shia,syiah
syi,syiah
sihar,syiar
sukuran,syukuran
syukuran,syukuran
syukrlah,syukurlah
syuro,syura
taawudz,taawuz
tabayyun,tabayun
tabligh,tablig
tampol,tabok
tadika,tadikan
tagâ,tag
tahanpenista,tahan penista
tahtah,tahta
tahunya,tahunnya
taeekk,tai
taek,tai
taekk,tai
tahey,tai
taii,tai
taikk,tai
taj,tai
takde,tak ada
takan,tak akan
takkan,tak akan
takpe,tak apa
taknak,tak mau
taktahu,tak tau
takpayah,tak usah
takabburnya,takaburnya
takbirallauakbar,takbir allahu akbar
tajil,takjil
tacut,takut
takot,takut
takuut,takut
talâ,tala
tambsh,tambah
tambain,tambahkan
tampakan,tampakkan
tamparin,tampari
tampiln,tampilan
tanahekan,tanah ekan
tancep,tancap
tandatangan,tanda tangan
tandatangani,tanda tangani
tanganin,tangani
tanggepin,tanggapi
tanggungjawab,tanggung jawab
tangkapsukmawati,tangkap sukmawati
tandjung,tanjung
tanjungpinang,tanjung pinang
tanp,tanpa
tantebinal,tante binal
tantebugil,tante bugil
tantegirang,tante girang
tantekesepian,tante kesepian
tantemontok,tante montok
tantesemo,tante semok
taau,tau
soulmatenya,teman akrabnya
specheslah,terdiam
suwon,terima kasih
taif,thaif
tailand,thailand
takleh,tidaklah
tadz,ustaz
smh,ya ampun
syaitu,yaitu
tul,betul
titipin,dititipkan
tuhh,itu
tukan,itukan
thaa,kah
testcase,kasus tes
trangan,lebih terang
timeline,lini masa
tumpakke,menaikan
tewaskan,menewaskan
toong,mengintip
tidurin,meniduri
tindaklanjuti,menindaklanjuti
torehkan,menorehkan
terspektakuler,paling spektakuler
thinkers,pemikir
tetel,potong
tsah,sah
trash,sampah
tetiba,setibanya
tidaknya,setidaknya
than,tahan
teu,tau
thu,tahu
th,tahun
tmhain,tambahkan
thampines,tampines
tnah,tanah
tnh,tanah
tngan,tangan
tgl,tanggal
tnp,tanpa
tgk,tegak
tgur,tegur
theist,teisme
tex,teks
tlah,telah
tivi,televisi
tipinya,televisinya
tkp,tempat kejadian perkara
tps,tempat pemungutan suara
tka,tenaga kerja asing
tki,tenaga kerja indonesia
tkw,tenaga kerja wanita
tngok,tengok
tntg,tentang
tni,tentara nasional indonesia
tiori,teori
trakhir,terakhir
trang,terang
traniaya,teraniaya
tras,teras
trasa,terasa
trerasi,terasi
trbaik,terbaik
terupdate,terbaru
trbuang,terbuang
trbuka,terbuka
terxium,tercium
trhadap,terhadap
trhdp,terhadap
triak,teriak
thank,terima kasih
thaqeef,terima kasih
trimakasih,terima kasih
thankful,terima kasih banyak
trjd,terjadi
trjdi,terjadi
trkdg,terkadang
trkendali,terkendali
trlebih,terlebih
trlewat,terlewat
trlibat,terlibat
trmsuk,termasuk
trsalurkan,tersalurkan
trsbt,tersebut
tetsesat,tersesat
trsusun,tersusun
ttd,tertanda
ttntng,tertantang
trtarik,tertarik
trtentu,tertentu
ttntu,tertentu
tertaip,tertib
tertylap,tertilap
tetibaan,tertimpa
ttindas,tertindas
texted,tertulis
trubus,terubus
teruus,terus
teus,terus
truskan,teruskan
truz,teruskan
terurama,terutama
teruta,terutama
test,tes
testi,testimoni
testimony,testimoni
tetang,tetangga
teta,tetap
teteepp,tetap
tetapjokowi,tetap jokowi
thai,thailand
therichchenle,the rich chenle
theorikal,theoretical
tomas,thomas
tho,though
ts,thread starter
tibatiba,tiba tiba
tida,tidak
tidack,tidak
tidah,tidak
tidakbb,tidak
tidk,tidak
tido,tidak
tikep,tidore kepulauan
tigebelas,tiga belas
tiker,tikar
tililing,tiling
tpf,tim pencari fakta
timtim,tim tim
timnasday,timnas day
timteng,timur tengah
tingga,tinggal
tinggl,tinggal
tgg,tinggi
tggi,tinggi
tghh,tinggi
tnggi,tinggi
tingkalakunya,tingkah lakunya
tkatkan,tingkatan
tingkatin,tingkatkan
tinjah,tinja
tinto,tinta
thionghoa,tionghoa
tionghua,tionghoa
tionghwa,tionghoa
tiptop,tip top
thyroid,tiroid
tititsma,titit sma
tititsmp,titit smp
tohh,toh
thok,tok
toketgede,toket gede
toketmulus,toket mulus
tokosrikandi,toko srikandi
tkoh,tokoh
tokohperubahan,tokoh perubahan
tokyoghoul,tokyo ghoul
tolakcukaiilegal,tolak cukai ilegal
tolakpakatan,tolak pakatan
tolakpemimpinkafir,tolak pemimpin kafir
tulgung,tolong
tomy,tommy
topup,top up
tppilampung,tppi lampung
tppisumbar,tppi sumbar
tranksaksi,transaksi
transaksipolitik,transaksi politik
transakdional,transaksional
tf,transfer
transpuan,transgender perempuan
transpâ,transparan
troma,trauma
trend,tren
trendnya,trennya
triliyun,triliun
trilliun,triliun
trilyun,triliun
triliyunan,triliunan
trilyunan,triliunan
trumpâ,trump
trumph,trump
tue,tua
tgb,tuan guru bajang
tuangurucabul,tuan guru cabul
tuamu,tuanmu
tuduhannmu,tuduhanmu
tkng,tukang
tukag,tukang
tuker,tukar
tolah,tulah
tulalitt,tulalit
tili,tuli
tumbangkn,tumbangkan
tumbangkanjokowi,tumbangkan jokowi
tuney,tunai
tumbur,tunas
thr,tunjangan hari raya
tunjukin,tunjukan
tunjukkan,tunjukan
tunjukilah,tunjukanlah
tuntuna,tuntunan
trunkn,turunkan
tipiwan,tvone
thaad,ustaz
tertanya,yang ditanyai
thy,your
tvshow,acara televisi
uwu,ai
uwuwuww,ai
uyghur,ai
uyhgur,ai
weekend,akhir pekan
uing,aku
weird,aneh
uanjing,anjing
wasuu,anjing
what,apa
whatever,apapun
zhong,apes
zonk,apes
usep,asep
ulamak,astaga
yok,ayo
yuh,ayo
yukk,ayo
yukp,ayo
yuks,ayo
yut,ayo
yuuk,ayo
yuknabung,ayo menabung
yukngaji,ayo mengaji
wazhab,azab
vau,bau
urg,belum
varokah,berkah
twitteran,bermain twitter
usual,biasanya
umyun,buta
with,dengan
vilage,desa
wantimpres,dewan pertimbangan presiden
two,dua
twice,dua kali
twoshoot,dua tembakan
uenak,enak
yummy,enak
wave,gelombang
zhengting,genting
wahahahaha,haha
whahahaahaha,haha
whuahahahah,haha
wei,hai
weii,hai
wishnya,harapannya
wey,he
weyh,he
yahut,hebat
zz,hem
yey,hore
yeyy,hore
ujan,hujan
ummi,ibu
wanna,ingin
wasatiyatislam,islam moderat
wife,istri
tuu,itu
yaap,iya
yaapss,iya
yao,iya
yaoi,iya
yee,iya
yeh,iya
yeho,iya
yelah,iya
yes,iya
yeshh,iya
yoj,iya
yoo,iya
yooa,iya
yuhu,iya
yuhuu,iya
yui,iya
yegak,iya atau tidak
yebin,iya biarkan
yadong,iya dong
yy,iya iya
yakan,iyakan
yekan,iyakan
yeeuh,jijik
yeu,jijik
yeuh,jijik
yeuhh,jijik
yuta,juta
unnie,kakak perempuan
wechooserahmah,kami pilih rahmah
ur,kamu
you,kamu
youu,kamu
wag,kekasih
weaknessnya,kelemahannya
why,kenapa
wareg,kenyang
volunteerism,kesukarelaan
unfairness,ketidakadilan
while,ketika
typingnya,ketikannya
victim,korban
ucink,kucing
voucher,kupon
turtle,kura kura
walter,laki laki
vs,lawan
turah,lebih
weru,lihat
warbiasak,luar biasa
warrbisah,luar biasa
wengi,malam
wear,memakai
videoin,memvideo
win,menang
typing,mengetik
ungguli,mengungguli
visit,mengunjungi
untungkan,menguntungkan
watching,menonton
tutupi,menutupi
tutupin,menutupi
undeestimate,menyepelekan
underestimate,menyepelekan
waspadai,mewaspadai
wawancarain,mewawancarai
wasatiyah,moderat
wasatiyat,moderat
watasiyat,moderat
zonkey,monyet
winters,musim dingin
uname,nama pengguna
unem,nama pengguna
username,nama pengguna
usher,nama pengguna
unamenya,nama penggunanya
yawa,nyawa
ui,oi
uwoy,oi
wo,oi
woe,oi
woey,oi
woii,oi
wooii,oi
wooui,oi
wooy,oi
wooyy,oi
woy,oi
woyy,oi
uke,oke
villager,orang desa
wonge,orangnya
utak,otak
uteknya,otaknya
vadjadjaran,padjadjaran
wahala,pahala
uncle,paman
vasti,pasti
waiters,pelayan
updaters,pembaru
update,pembaruan
updateannya,pembaruan
ultrasnya,pendukung fanatiknya
walpri,pengawal pribadi
user,pengguna
usage,penggunaan
upgrade,peningkatan
witch,penyihir
wor,perang
twitwor,perang twit
walkout,pergi
vn,pesan suara
utangan,pinjaman
wowo,prabowo
wowok,prabowo
updating,proses pembaruan
udelnya,pusarnya
wiig,rambut palsu
umoh,rumah
wrong,salah
typo,salah ketik
very,sangat
woles,santai
zapi,sapi
ukhti,saudari
wilujeng,selamat
umpetin,sembunyikan
tyap,setiap
voice,suara
ud,sudah
udaah,sudah
udab,sudah
udeeh,sudah
udehh,sudah
wes,sudah
wess,sudah
wis,sudah
ws,sudah
wisan,sudahan
udahlah,sudahlah
weslah,sudahlah
walaahh,sumpah
zuzu,susu
usyriyah,syriyah
turtable,tabel kebenaran
year,tahun
without,tanpa
tv,televisi
tvri,televisi republik indonesia
venue,tempat
ty,terima kasih
ujungujung,tiba tiba
tydac,tidak
tydak,tidak
useless,tidak berguna
unbranded,tidak bermerek
unpub,tidak dipublikasikan
unskilled,tidak terampil
tyo,tio
type,tipe
typekal,tipikal
typical,tipikal
urani,tirani
tytyd,titit
wc,toilet
tuwek,tua
wait,tunggu
turret,turet
turkey,turki
turnament,turnamen
turo,turonggo
twee,twit
tweeps,twit
tweet,twit
tweetdsap,twit
tweets,twit
twet,twit
twip,twit
twips,twit
twit,twit
twitt,twit
twiy,twit
twt,twit
tweetnya,twitnya
twatter,twitter
tweeter,twitter
twiter,twitter
tyasmirasih,tyas mirasih
uangkita,uang kita
ucpn,ucapan
ucapakan,ucapkan
uddin,udin
ugh,uh
unch,uh
ush,uh
uuhh,uh
uunncchh,uh
uhuww,uhuy
woo,uhuy
woohoo,uhuy
ujin,ujian
uas,ujian akhir semester
un,ujian nasional
uts,ujian tengah semester
ukwah,ukhuwah
ulakkarang,ulak karang
ulamaâ,ulama
ulamað,ulama
ulangtahun,ulang tahun
ulangtaun,ulang tahun
ultah,ulang tahun
ulasanya,ulasannya
ultrakanan,ultra kanan
uv,ultra violet
umaraâ,umara
umaro,umara
umaroh,umara
umatbersamasaksi,umat bersama saksi
ummatnha,umatnya
umroh,umrah
uu,undang undang
uud,undang undang dasar
unfol,unfollow
unfoll,unfollow
upfoll,unfollow
upload,unggah
uae,uni emirat arab
unisoviet,uni soviet
url,uniform resource locator
uk,united kingdom
univ,universitas
universiti,universitas
university,universitas
universityâ,universitas
ub,universitas brawijaya
uin,universitas islam negeri
unkris,universitas kristen
unm,universitas negeri malang
unpad,universitas negeri padjadjaran
unnes,universitas negeri semarang
untan,universitas tanjungpura
untar,universitas tarumanegara
unt,untuk
untuak,untuk
unutk,untuk
utuk,untuk
untrakyat,untuk rakyat
uupa,upah
umr,upah minimum regional
upone,upon
upss,ups
urusn,urusan
urusin,uruskan
ukm,usaha kecil menengah
usirchina,usir cina
usluf,uslub
ustmani,usmani
uss,ussr
ust,ustaz
ustadz,ustaz
ustd,ustaz
uthman,utsman
utusanmalaysia,utusan malaysia
utusanonline,utusan online
udzur,uzur
valik,valak
validnya,validitasnya
verif,verifikasi
ver,versi
vii,vi
vid,video
videobokep,video bokep
vidkep,video bokep
videobokepgrat,video bokep gratis
vc,video call
vcs,video call sex
vclip,video klip
videomesum,video mesum
videongentot,video ngentot
vikinganjing,viking anjing
villa,vila
vincesius,vincentius
vinyl,vinil
virakan,viralkan
viralin,viralkan
visualnya,visualisasinya
vocal,vokal
waba,wabah
wadaauuww,waduh
wadaw,waduh
wadidaw,waduh
waduuh,waduh
wala,waduh
wllh,waduh
wlo,waduh
waah,wah
wahh,wah
wal,wah
wehh,wah
woh,wah
wohh,wah
yua,wah
wagelaseh,wah gila sih
waaini,wah ini
waini,wah ini
wainna,wah ini
wahbrot,wah saudara
wagakbener,wah tidak benar
wahabrer,wah tidak benar
wahhabi,wahabi
wahabism,wahabisme
wajae,wajahnya
wajahâ,wajahnya
wajahx,wajahnya
wjar,wajar
wajarla,wajarlah
wamil,wajib militer
waji,wajik
wagub,wakil gubernur
wagubku,wakil gubernurku
wagubnya,wakil gubernurnya
waketum,wakil ketua umum
wapres,wakil presiden
wapresnya,wakil presidennya
wapresnye,wakil presidennya
wayahe,waktunya
walaipun,walaupun
walaupon,walaupun
walupun,walaupun
walikota,wali kota
walkot,wali kota
walikotanya,wali kotanya
walisongo,wali songo
waqiâ,waqiah
wn,warga negara
wna,warga negara asing
wni,warga negara indonesia
wargapribumiasli,warga pribumi asli
warisanâ,warisannya
wrung,warung
warnet,warung internet
warteg,warung tegal
wasite,wasitnya
waspadailah,waspadalah
waspadanya,waspadalah padanya
wslm,wassalam
wassalammualaikum,wassalammualaykum
watrpad,wattpad
wawancaraeksklusif,wawancara eksklisif
wgl,we get love
wibu,weeaboo
wenangan,wejangan
wel,well
wtf,what the fuck
wassapnya,whatsappnya
wefie,wifi
wil,wilayah
wilyah,wilayah
wne,wine
wirosableng,wiro sableng
wisatakaltim,wisata kalimantan timur
waakaakaak,wkwk
wakaka,wkwk
wakakak,wkwk
wakakaka,wkwk
wakakakak,wkwk
wakakakaka,wkwk
wakakakakakak,wkwk
wakakkakkak,wkwk
wakaq,wkwk
wakwaww,wkwk
wek,wkwk
wekawekaweka,wkwk
wekekkeke,wkwk
wjdjiqksks,wkwk
wk,wkwk
wkaakakak,wkwk
wkakak,wkwk
wkakakakaka,wkwk
wkejwkkw,wkwk
wkk,wkwk
wkkw,wkwk
wkkwkk,wkwk
wkkwkw,wkwk
wkkwkwkw,wkwk
wkkwkwkwkw,wkwk
wkkww,wkwk
wks,wkwk
wksk,wkwk
wkw,wkwk
wkwkk,wkwk
wkwkkw,wkwk
wkwkkwk,wkwk
wkwkkwkw,wkwk
wkwkkwkwkw,wkwk
wkwkkwkwkwkwkq,wkwk
wkwks,wkwk
wkwkw,wkwk
wkwkwjjwjw,wkwk
wkwkwk,wkwk
wkwkwkakak,wkwk
wkwkwkk,wkwk
wkwkwkkwkw,wkwk
wkwkwkkwkwkwwk,wkwk
wkwkwkw,wkwk
wkwkwkwkk,wkwk
wkwkwkwkkw,wkwk
wkwkwkwkw,wkwk
wkwkwkwkwk,wkwk
wkwkwkwkwkk,wkwk
wkwkwkwkwkkw,wkwk
wkwkwkwkwkkwkwkw,wkwk
wkwkwkwkwkw,wkwk
wkwkwkwkwkwkk,wkwk
wkwkwkwkwkwkwk,wkwk
wkwkwkwkwkwkwkwk,wkwk
wkwkwkwwkkwkwkwkwk,wkwk
wkwkwkwwkwk,wkwk
wkwkwwk,wkwk
wkwwk,wkwk
wqwq,wkwk
wqwqwq,wkwk
wqwqwqwq,wkwk
wuakkakaa,wkwk
wwkkw,wkwk
wwkwkwkw,wkwk
wwsn,wkwk
wonderfulindonesia,woderful indonesia
waaw,wow
waow,wow
waw,wow
wew,wow
widih,wow
woow,wow
woww,wow
wuah,wow
wusstt,wow
wournos,wuornos
winwen,xinwen
yab,ya
yað,ya
yha,ya
yaah,ya
yaakk,ya
yahh,ya
yas,ya
yeah,ya
yuups,ya
yaallah,ya allah
yaallahh,ya allah
yaolo,ya allah
yasalam,ya allah
yassalam,ya allah
yawlah,ya allah
yaamfun,ya ampun
yaampun,ya ampun
yampun,ya ampun
yagimanasih,ya bagaimana sih
yagitu,ya begitu
yai,ya iyalah
yaila,ya iyalah
yailaah,ya iyalah
yailah,ya iyalah
yaiyalah,ya iyalah
yakali,ya kali
yra,ya rabbal alamin
yauda,ya sudah
yawdah,ya sudah
yowis,ya sudah
yaudahlah,ya sudahlah
yanga,ya tidak
yaola,ya tidak
yalord,ya tuhan
yaaelaa,yaelah
yaaelah,yaelah
yaelahh,yaelah
yahodi,yahudi
yahudii,yahudi
yahudilik,yahudi
yakini,yaitu
yakiin,yakin
yakiinn,yakin
yabg,yang
yanag,yang
yangg,yang
yant,yang
yynng,yang
zhang,yang
yangbagus,yang bagus
ybhg,yang berbahagia
ybs,yang bersangkutan
yll,yang lain lain
yme,yang maha esa
yangmembuat,yang membuat
yth,yang terhormat
yasadipura,yasa adipura
yaysn,yayasan
yal,yel
yall,yel
yell,yel
yogya,yogyakarta
yutub,youtube
yutup,youtube
yutuber,youtuber
yubaarik,yubarik
ucril,yusril
ym,yusuf mansyur
zainulmajdi,zainul majdi
zhalim,zalim
zmn,zaman
zar,zat
zionist,zionis
zoon,zoom
zuyle,zumi
met,selamat
netaas,menetas
keberpa,keberapa
eeeehhhh,eh
hallo,halo
ka,kakak
daah,dah
aaaaahhhh,ah
nyenengin,menyenangkan
gemess,gemas
akuuu,aku
gemesiin,menggemaskan
menyenangkn,menyenangkan
idolaa,idola
kaakk,kakak
baaiikkk,baik
telaatt,telat
kaak,kakak
loohhh,lo
yeee,iya
baguuuuus,bagus
gayany,gayanya
bnk,bank
awaas,awas
siip,sip
abizzzz,habis
kerrrrennnn,keren
sayaa,saya
sdkit,sedikit
lgu,lagu
kharismanya,karismanya
lgunya,lagunya
kereeeeennnn,keren
nyamain,menyamakan
lakik,laki
siippp,sip
kereeen,keren
wihhhhhh,weh
bingitsss,banget
kaloo,kalau
gimna,bagaimana
tuuh,itu
nyebur,mencebur
dbuat,dibuat
bangcat,bangsat
waoohhh,wah
dhe,deh
indahhh,indah
bgttt,banget
berarto,berarti
amiiinn,amin
amiiiin,amin
aminnn,amin
amiend,amin
yaaa,ya
ameen,amin
aminnnn,amin
amiiinnn,amin
mamer,memamerkan
jelase,jelas
uwakk,uak
gini,begini
njir,anjir
piiink,merah muda
astgfrullah,astagfirullah
gbs,enggak bisa
yaaaaaa,ya
bangshad,bangsat
stagahhhh,astaga
iooo,lo
plampiasannn,pelampiasan
masalahh,masalah
inghinn,ingin
dhi,di
mengherthii,mengerti
yanckh,sayang
chelalyyu,selalu
therchakitty,tersakiti
mauuuuu,mau
kaliii,kali
bangat,banget
dongg,dong
yokkk,ayo
sweger,segar
gantengg,ganteng
bingiit,banget
kebukaaa,terbuka
kayakk,kayak
asliii,asli
cntiknya,cantiknya
ngeliatnya,melihatnya
njerr,anjir
bingiiittttzzzz,banget
dooong,dong
hdk,hendak
jugaa,juga
mksud,maksud
mbakx,mbaknya
bejilbbnya,berjilbabnya
masio,masih
yahhh,ya
makasih,terima kasih
ugaaa,juga
jerewi,jerawat
jilbabnyaah,jilbabnya
yuuuk,ayo
warnaaa,warna
punyaaa,punya
cantiik,cantik
sukaaak,suka
kebayanyaa,kebayanya
merekaaaa,mereka
jugaaa,juga
gilaaaa,gila
lucuu,lucu
emessss,gemas
ucullllll,lucu
bangeettt,banget
gemesshh,gemas
apaaa,apa
ampuunn,ampun
ciuuuummmm,cium
ngemeng,bicara
epe,apa
seehh,sih
ucul,lucu
astagfirrullah,astagfirullah
suerrr,sumpah
ntik,cantik
lucuuuu,lucu
ketawakkkk,ketawa
nakutin,menakutkan
malingg,maling
cocokk,cocok
niihh,nih
imutttttt,imut
satuuuuu,satu
sesekk,sesak
nafass,napas
bgtt,banget
cintaaaaaaa,cinta
lucuk,lucu
duluu,dulu
megang,memegang
kawinin,mengawini
nyaaa,nya
gemesin,menggemaskan
fotoin,foto
kaaa,kakak
pcarny,pacarnya
kri,kiri
tembokk,tembok
kiriii,kiri
bungkusin,bungkuskan
dehhhh,deh
kakk,kakak
ngegantiin,menggantikan
trsa,terasa
khadirannya,kehadirannya
hayalanku,khayalanku
surgaa,surga
kangenn,kangen
kgn,kangen
kakkkkk,kakak
rinduuuuuuuuu,rindu
terangkhn,terangkan
bgtttt,banget
bngunlah,bangunlah
qu,ku
hiri,hari
alm,almarhum
sie,sih
benet,benar
bangetttt,banget
gda,enggak ada
gantiin,gantikan
kklau,kalau
acra,acara
bnerr,benar
emk,emak
temenn,teman
pngenn,ingin
terkenall,terkenal
ajhh,saja
dimusiumin,dimuseumkan
bntu,bantu
kangem,kangen
amiiin,amin
lahhh,lah
lht,lihat
mnrtkuu,menurutku
wajiiib,wajib
aaaammmiiiinnnn,amin
dtnggu,ditunggu
kunjungin,kunjungi
lagiiii,lagi
waktunyaaa,waktunya
diluangin,diluangkan
mimin,admin
istimewaaa,istimewa
donkk,dong
kejawab,terjawab
yaaaa,ya
mohom,mohon
kebalas,terbalas
nyempetin,menyempatkan
wktunya,waktunya
kaaaa,kakak
namain,menamai
ijap,ijab
kobul,kabul
inggat,ingat
brdua,berdua
sanggat,sangat
siipp,sip
laa,lah
hdp,hidup
kedpan,ke depan
mndaptkan,mendapatkan
"""nutup""""in""",menutup nutupi
kakkk,kakak
za,saja
peengn,ingin
muantteepp,mantap
mrit,menikah
ngapasih,kenapa sih
segitunya,sebegitunya
fto,foto
sisain,sisakan
slamt,selamat
nantiii,nanti
edaaan,edan
ciyeeeeeee,cie
lairannya,kelahirannya
jmnya,jamnya
ajha,saja
nyaaaa,nya
amiien,amin
terbaikkk,terbaik
ayahh,ayah
ae,saja
mrekaaaa,mereka
yaampuuuunnnn,ya ampun
nyanyiin,menyanyikan
ahhh,ah
tempt,tempat
asyikkkkk,asyik
iriiiii,iri
naaaaahh,nah
kka,kakak
jrang,jarang
makkk,emak
guee,gue
pengennn,ingin
gilzz,gila
nyaru,menyaru
gilaaa,gila
mantabs,mantap
