text,product,quantity,price,total_price
MAU PESEN 10 PORSI CEKER DIMSUM DNG,ceker dimsum,10,42500,425000
Mau donkg 1 porsi agilio olio tuna harga 30 ribu,agilio olio tuna,1,30000,30000
YGY MAU PESEN DUA PORSI ICED LATTE DONG,iced latte,2,6500,13000
KAK ADA EMPAL DAGING GORENG MASAKAN? MAU 10 RP37000,empal daging goreng masakan,10,37000,370000
KAK MINTA 4 PORSI BANANA UYU YA HRGA 12 RIBU,banana uyu,4,12500,50000
kak minta 3 porsi the original hot dog ya harga rp 21000,the original hot dog,3,21000,63000
"PESEN 4 AMBULA KEDONDNG JUICE KAK, TOTAL RP 82000",ambula kedondong juice,4,20500,82000
Peesn sei diego burger 1 biji harganya 27000,sei diego burger,1,27000,27000
fyi psean fraise ananas 4 harganya 18500,fraise ananas,4,18500,74000
Kak minta lima porsi mix sweet cake ya harga rp 50000,mix sweet cake,5,50000,250000
TOLONG PESANIN LIMA SELAI VANILLA CRUNCH DONG 32000 RB,selai vanilla crunch,5,32000,160000
loh satu dong daun kol sawi segar berapa kak?,daun kol sawi segar,1,30500,30500
beli dua risol goreng 40000 rb,risol goreng,2,40000,80000
"PESEN LIMA PORXI KOPI C DINGIN KAK, TOTAL 12 RIBU",kopi c dingin,5,2500,12500
"Chicken roast set seporsi ya kak, harga 8000 rb",chicken roast set,1,8000,8000
kak ada secret garden? mau satu 19 ribu,secret garden,1,19500,19500
"MIE LIDI 10 YA KAK, HARGA HARGANYA 5000",mie lidi,10,5000,50000
sih pesan chicken katsu curry dua harganya 21000,chicken katsu curry,2,21000,42000
loh sepuluh peterseli aja kak harga 35k,peterseli,10,35000,350000
NIH KAK MINTA 5 TAWAR LEMBUT FRIENDS YA HARGA RP 13000,tawar lembut friends,5,13000,65000
Sih mau pesen tiga porcy kiwi pineapple dong,kiwi pineapple,3,34000,102000
WKWK MAU PESEN TIGA MUFFIN VANILA DONG,muffin vanila,3,18500,55500
MAU PESEN 10 ICED CREAMY COFFEE DONG,iced creamy coffee,10,19000,190000
PESAN SELADA DUA 40000,selada,2,40000,80000
EMPAT KOLOBAK BERAPA KAK?,kolobak,4,24000,96000
Fyi beli pancong oreo dulu 5 harga 2k,pancong oreo,5,2000,10000
3 PORSI MILK SHAKE VANILLA DANCOW BERAPA KAK?,milk shake vanilla dancow,3,19500,58500
Halo kak mau beli sepuluh pendolds koonuga hill c sauvignon harganya rp. 45500,pendolds koonuga hill c sauvignon,10,45500,455000
HALO KAK MAU BELI LIMA BEBEK BAKAR PLUS NASI HARGANYA RP 23500,bebek bakar plus nasi,5,23500,117500
PESAN VANILLA 2 PORSI HARGANYA 8000,vanilla,2,8000,16000
Kak 2 porsi cendol pandan 16000 rb ya,cendol pandan,2,16000,32000
4 CLASSIC COBB BERAPA KAK?,classic cobb,4,42500,170000
ORDER NUTRISARI JERUK NIPIS 5 PORSI PCS HARGA 28000,nutrisari jeruk nipis,5,28000,140000
sih halo kak mau beli 2 porsi sambal ricapencittrasiijo harganya rp. 47500,sambal ricapencittrasiijo,2,47500,95000
Kak ada es kopi kulo untuk driver? mau lima rp33000,es kopi kulo untuk driver,5,33000,165000
EMPAT RED BEAND BERAPA KAK?,red beand,4,2000,8000
"Mau lima mie aceh cumi, 3000 kan?",mie aceh cumi,5,3000,15000
Nih beli 1 porsi cookies chocolate mente 34000 rb,cookies chocolate mente,1,34000,34000
ygy tolong pesenin tiga porsi cream de pomodori vegan dong rp 24500,cream de pomodori vegan,3,24500,73500
kak ada beef cheese burger? mau 4 porsi harga 18k,beef cheese burger,4,18000,72000
btw pesan cimory squeeze original empat rp26000,cimory squeeze original,4,26000,104000
"Fyi pesen 10 porsi chicken steak copa kak, total 190 ribu",chicken steak copa,10,19000,190000
Nitip gurami goreng kering ya tiga aja harga 24 ribu,gurami goreng kering,3,24500,73500
pesan ikan patin bakar sebanyak 1 hrga rp44500,ikan patin bakar,1,44500,44500
YGY ORDER TIGA CHICKEN STRIP ROLL TOTAL 93000 RB,chicken strip roll,3,31000,93000
NIH KAK MINTA 3 PORSI KWETIAW SIRAM SEAFOOD YA HRGA RP29000,kwetiaw siram seafood,3,29000,87000
"PESEN 10 KERIPIK KENTANG ORI KAK, TOTAL RP. 255000",keripik kentang ori,10,25500,255000
"ygy pesen 4 porxi kfc kak, total rp. 130000",kfc,4,32500,130000
KAK ADA SMOKED BEEF  EGG? MAU LIMA PORSI 13 RIBU,smoked beef  egg,5,13500,67500
BELI 4 SMOKED BEEF MENTAI SAUCE HARGANYA 28000,smoked beef mentai sauce,4,28000,112000
mau dongg 2 porcy wonder waldorf harga harga 35k,wonder waldorf,2,35000,70000
sih halo kak mau beli 5 vanilla blue harganya rp. 2500,vanilla blue,5,2500,12500
Tolong pesanin 3 mie kuning donk rp 34000,mie kuning,3,34000,102000
BTW MAU PESEN EMPAT CARBONARA DONK,carbonara,4,22000,88000
"LUMPIA PISANG TARO LIMA YA KAK, HARGA HARGANYA 43500",lumpia pisang taro,5,43500,217500
"Pesen lima porcy mie petir level m kak, total hrgnya 237500",mie petir level m,5,47500,237500
Nitip lamian pangsit ya 5 porsi aja harga rp46500,lamian pangsit,5,46500,232500
LIMA KACANG SUKRO PUTIH BERAPA KAK?,kacang sukro putih,5,14000,70000
Order satu dong milkshake taro total rp28500,milkshake taro,1,28500,28500
mau dongg seporsi spicy garlic chicken harga 49000,spicy garlic chicken,1,49000,49000
10 ES POP ICE AJA KAK HARGA 8 RIBU,es pop ice,10,8500,85000
order juice melon tiga porsi pcs hrg 23500 rb,juice melon,3,23500,70500
"Ygy tori curry udon tiga ya kak, harga rp 14500",tori curry udon,3,14500,43500
PESAN MIE ACEH GORENG SIFOOD SEBANYAK 10 HARGA HARGA 24K,mie aceh goreng sifood,10,24500,245000
YGY MAU PESEN TIGA PORSI TEMPE KORO BENGUK DNG,tempe koro benguk,3,2500,7500
WKWK BLY JUS KURMA DULU 2 46000 RB,jus kurma,2,46000,92000
tolong pesanin 4 vocanzo large dong 34500 rb,vocanzo large,4,34500,138000
KAK ADA TUMIS TAUGE IKAN ASIN TENGGIRI? MAU 1 49500 RB,tumis tauge ikan asin tenggiri,1,49500,49500
fyi 2 porsi roti cuplis raspberry berapa kak?,roti cuplis raspberry,2,50000,100000
mau donkg 10 porcy es rasa coklat harga 9 ribu,es rasa coklat,10,9500,95000
pesan donat toping mises sebanyak 3 hrg 42000 rb,donat toping mises,3,42000,126000
WKWK BELI FHU YUNG HAI DULU 5 RP. 34000,fhu yung hai,5,34000,170000
Nih halo kak mau beli 3 porsi mie pentol harganya rp 20500,mie pentol,3,20500,61500
Tolong pesanin 1 aja jangang bintatoeng masakan dong 22 ribu,jangang bintatoeng masakan,1,22500,22500
KAK EMPAT SUP ASPARAGUS DAGING KEPITING S 4500 RB YA,sup asparagus daging kepiting s,4,4500,18000
5 es kelapa muda berapa kak?,es kelapa muda,5,42000,210000
btw order chikitiuw bite 2 biji pcs hrg 46 ribu,chikitiuw bite,2,46500,93000
mau dongg 5 just sausage harga rp 38500,just sausage,5,38500,192500
beli 5 classic milo iced rp43000,classic milo iced,5,43000,215000
LOH TOLONG PESANIN 5 LONCOM DONG HRGANYA 20000,loncom,5,20000,100000
btw beli topping boba dulu tiga 21k,topping boba,3,21000,63000
5 oval coklat berapa kak?,oval coklat,5,21500,107500
BTW DUA SUSU KOCOK BOBA VANILA LATTE BERAPA KAK?,susu kocok boba vanila latte,2,13500,27000
Beli 4 porxi triple cheese burger rp37000,triple cheese burger,4,37000,148000
Kak ada combo special? mau 10 porsi rp17000,combo special,10,17000,170000
mau dongg 10 porsi lychee breezer harga 11k,lychee breezer,10,11500,115000
"FYI NASI CAP CAY 2 PORSI YA KAK, HARGA HARGANYA 32500",nasi cap cay,2,32500,65000
MAU PESEN LIMA CUKA DONG,cuka,5,18500,92500
beli pentol tuna  putih dulu lima harga 4k,pentol tuna  putih,5,4000,20000
order 2 biji osaka spicy tofu total rp. 97000,osaka spicy tofu,2,48500,97000
YGY 5 NASI GORENG KARTIKA AJA KAK HRGA RP 44000,nasi goreng kartika,5,44000,220000
Nih beli 3 smokeland hrgnya 16000,smokeland,3,16000,48000
Hehe 1 salmon belly nigiri aja kak harga 43k,salmon belly nigiri,1,43500,43500
Loh 4 porsi es rasa mangga aja kak harga 26k,es rasa mangga,4,26000,104000
hehe order mocha tikar empat pcs harga 40500,mocha tikar,4,40500,162000
mau dongg 2 porsi frenc fries mayo harga rp40500,frenc fries mayo,2,40500,81000
BTW ORDER EMPING ATJEH OTAKO SEPULUH PCS HARGA RP 3000,emping atjeh otako,10,3000,30000
HEHE TOLONG PESANIN SATU DAUN JAMBU METE MUDA DONG RP. 18500,daun jambu mete muda,1,18500,18500
"MAU 4 PORSI ICE CHOCO METEOR, HARGANYA 32000 KAN?",ice choco meteor,4,32000,128000
loh kak ada extra saos? mau 5 porsi 12k,extra saos,5,12500,62500
Kak ada ayam pecak pkt santap? mau 2 biji 34 rib,ayam pecak pkt santap,2,34000,68000
Loh kak ada telor kribo? mau 5 harganya 7500,telor kribo,5,7500,37500
HALO KAK MAU BELI 1 AJA NASI KRENGSENGAN AYAM HARGANYA 35 RIBU,nasi krengsengan ayam,1,35500,35500
beli 4 chicken ham and cheese rm harganya 18000,chicken ham and cheese rm,4,18000,72000
5 asam kandis segar berapa kak?,asam kandis segar,5,35000,175000
beli nasi goreng chicken katsu dulu satu 29000 rb,nasi goreng chicken katsu,1,29000,29000
Hehe nitip pancong rasa durian ya dua porsi aja harga harga 37k,pancong rasa durian,2,37000,74000
ORDER 10 PANDAN CHEESE CREAM TOTAL RP 440000,pandan cheese cream,10,44000,440000
KAK ADA CHICKEN RUN? MAU 2 BIJI 27K,chicken run,2,27500,55000
Halo kak mau beli 4 porsi elbidaya kurm desert harganya rp2000,elbidaya kurm desert,4,2000,8000
kak ada okinawa coffee? mau 4 porsi hrga 43k,okinawa coffee,4,43500,174000
"Mau tiga tahubiji, harga 4k kan?",tahubiji,3,4000,12000
Fyi tolong pesanin 2 abon pedas dong 19 rbu,abon pedas,2,19500,39000
Kak ada vanilla latte chesee bubble drink? mau 5 porsi 24000 rb,vanilla latte chesee bubble drink,5,24000,120000
HEHE BLY AMERICANO ICEHOT DULU TIGA HARGA 28K,americano icehot,3,28000,84000
Kak sepuluh jus buah pear harganya 26000 ya,jus buah pear,10,26000,260000
"mau 4 bakso original, rp18500 kan?",bakso original,4,18500,74000
Pesen martabak tipker skippy keju empat harga 35k,martabak tipker skippy keju,4,35000,140000
Pesan udang curry sebanyak dua porsi harga 22k,udang curry,2,22000,44000
DUA GURAMI CABE HIJAU BERAPA KAK?,gurami cabe hijau,2,18500,37000
BTW KAK ADA NASI AYAM TALIWANG? MAU 2 RP9500,nasi ayam taliwang,2,9500,19000
WKWK NITIP NASI LELE TELOR YA 5 PORSI AJA HARGA 33500 RB,nasi lele telor,5,33500,167500
kak minta seporsi combo wings ya harga harganya 29000,combo wings,1,29000,29000
Nih mau pesen 10 porsi coconut praline dong,coconut praline,10,31000,310000
loh halo kak mau beli 2 biji katsu sauce blackpaper tanpa nasi harganya rp 18500,katsu sauce blackpaper tanpa nasi,2,18500,37000
PEESN NASI NILA SAOS TIRAM SEBANYAK TIGA PORSI HARGA HARGANYA 19500,nasi nila saos tiram,3,19500,58500
NIH HALO KAK MAU BELI EMPAT UDANG MASAK JAHE DAN BAWANG HARGANYA RP. 14500,udang masak jahe dan bawang,4,14500,58000
Kak minta 3 linggardjati sarsaparilla ya harga rp27000,linggardjati sarsaparilla,3,27000,81000
Beli roti srikaya dulu sepuluh 18k,roti srikaya,10,18500,185000
NIH NITIP PISANG KAYU SEGAR YA 1 BIJI AJA HARGA RP 45000,pisang kayu segar,1,45000,45000
order sepuluh sop gurame total 70000 rb,sop gurame,10,7000,70000
BELLI SEPULUH ES KOPI 28 RIBU,es kopi,10,28500,285000
MAU DONGG TIGA PORSI PALMIR HRGA HARGA 25K,palmir,3,25000,75000
beli dua cah tauge ikan teri rp27000,cah tauge ikan teri,2,27000,54000
beli 5 pancong nanas  pisbak coklat 8500 rb,pancong nanas  pisbak coklat,5,8500,42500
NIH SEPULUH JUICE APEL AJA KAK HARGA RP. 30000,juice apel,10,30000,300000
Order empat mie basah total hrg 146k,mie basah,4,36500,146000
Beli sambal goreng jengkol dulu 10 porsi 42 ribu,sambal goreng jengkol,10,42500,425000
mau pesen empat nasi goreng rempah daging dong,nasi goreng rempah daging,4,11500,46000
BISA GAK ORDER 4 PORSI KUMA CURRY RICE HARGA HARGANYA 2500,kuma curry rice,4,2500,10000
tolong peesnin tiga torimen dong harga 28k,torimen,3,28000,84000
BELI PRINIA ORANGE LYCHEE DULU 10 35000 RB,prinia orange lychee,10,35000,350000
btw pesan extra tabbouleh 2 porsi harganya 9000,extra tabbouleh,2,9000,18000
"mau 3 porsi chicken wings crush garlic, hrganya 10000 kan?",chicken wings crush garlic,3,10000,30000
loh beli tiga porsi spicy cheese tuna puff 46500,spicy cheese tuna puff,3,46500,139500
"PESEN DUA SEBLAK CRAB STICK SPECIAL KAK, TOTAL 36000",seblak crab stick special,2,18000,36000
order 4 olahan ikan berbentuk karakter total rp 196000,olahan ikan berbentuk karakter,4,49000,196000
fyi nitip hot  espresso single ya empat aja harga 45500 rb,hot  espresso single,4,45500,182000
"mau 2 porsi lemper pedas manis, rp 5000 kan?",lemper pedas manis,2,5000,10000
KAK MINTA 5 KOPI BIASA YA HARGA RP 27000,kopi biasa,5,27000,135000
BELI 3 DORY SAMBAL MATAH RP. 17500,dory sambal matah,3,17500,52500
"Pesen 1 biji bolu gulung strawberry kecil qz kak, total hrga 43k",bolu gulung strawberry kecil qz,1,43000,43000
"Sih mojito virgin lime 4 porsi ya kak, harga 14000",mojito virgin lime,4,14000,56000
"TOBIKO SEPULUH YA KAK, HARGA RP. 14000",tobiko,10,14000,140000
Bisa gak order 2 udang crispy harga rp. 35500,udang crispy,2,35500,71000
loh kak ada strawberry strudle? mau 4 porxi 13500,strawberry strudle,4,13500,54000
mau dongg lima spesial mozarella sosis harga 41000 rb,spesial mozarella sosis,5,41000,205000
Loh 2 corn dog mozarella strawberry berapa kak?,corn dog mozarella strawberry,2,14500,29000
Wkwk kak ada teh anget? mau 5 porsi 5k,teh anget,5,5000,25000
BTW MAU DONGG 4 PORSI CAH TAOGE UDANG HARGA 5K,cah taoge udang,4,5500,22000
"mau satu loyang sedang mix, rp35000 kan?",loyang sedang mix,1,35000,35000
NIH BELI TEH ELLA DULU 10 RP. 38000,teh ella,10,38000,380000
SIH SATU RAKET WANGI AJA KAK HARGA HARGA 13K,raket wangi,1,13500,13500
Hehe kak 5 porsi martabak telur loyang 25 ribu ya,martabak telur loyang,5,25500,127500
YGY KAK ADA RUM REGALE? MAU EMPAT 2000,rum regale,4,2000,8000
MAU PESEN 1 BIJI LONG SAUSAGE DONG,long sausage,1,16000,16000
"Ubi jalar merah lima ya kak, harga 8000",ubi jalar merah,5,8000,40000
BELI 3 PORXI IKAN KERAPU PEDAS MANIS 7 RIBU,ikan kerapu pedas manis,3,7500,22500
KAK MINTA 5 PORSI CHICAGO CHEESE BURGER YA HARGA 4 RIBU,chicago cheese burger,5,4000,20000
bisa gak order 2 biji cocopandan squash harga 2 ribu,cocopandan squash,2,2500,5000
loh kak ada ice matcha latte  boba? mau 2 45 ribu,ice matcha latte  boba,2,45000,90000
Loh pesan oyako sandwich sebanyak dua harga rp23500,oyako sandwich,2,23500,47000
tolong pesanin dua porxi corndog mosis mozarella sosis dong rp 37500,corndog mosis mozarella sosis,2,37500,75000
Mau dongg empat kepiting pedas manis harga rp45500,kepiting pedas manis,4,45500,182000
wkwk order tiga bakpao kelapa inti total rp. 72000,bakpao kelapa inti,3,24000,72000
KAK ADA NASI PENYETAN REGULER? MAU 2 9000,nasi penyetan reguler,2,9000,18000
Order 1 biji kuro samurai sushi tuna total 46000 rb,kuro samurai sushi tuna,1,46000,46000
Btw beli thai tea bubble gum dulu dua harga 36k,thai tea bubble gum,2,36500,73000
1 biji teh hijau tarik panas berapa kak?,teh hijau tarik panas,1,12500,12500
pesan bloody velvet 4 porsi rp2500,bloody velvet,4,2500,10000
"Pesen sepuluh lapis black forest kak, total harga 165k",lapis black forest,10,16500,165000
Mau pesen dua carbonara dong,carbonara,2,34000,68000
Btw bisa gak order 1 biji double shot elite hrg 45k,double shot elite,1,45500,45500
kak seporsi onigiri spicy chicken rp 19500 ya,onigiri spicy chicken,1,19500,19500
Mau dongg lima nyayap hemat harga rp 28500,nyayap hemat,5,28500,142500
Order hokkaido butter serve ice cream 10 pcs harga harga 39k,hokkaido butter serve ice cream,10,39000,390000
beli 4 crepes coklat oreo rp. 43500,crepes coklat oreo,4,43500,174000
BISA GAK ORDER 2 MATCHA MOCHA HARGA 22 RIBU,matcha mocha,2,22000,44000
mau pesen dua kitkat full toping reguler dong,kitkat full toping reguler,2,8500,17000
Mau pesen lima yongsan bingso dong,yongsan bingso,5,40000,200000
tolong pesanin lima porsi steaky sauce donk 47k,steaky sauce,5,47500,237500
Bly 4 kerupuk kemplang goreng rp 49500,kerupuk kemplang goreng,4,49500,198000
kak ada mie babat? mau 4 29 ribu,mie babat,4,29000,116000
Wkwk order 5 teri balado masakan total harganya 175000,teri balado masakan,5,35000,175000
KAK MINTA 10 PANAS SPECIAL SPICY LARGE YA HARGA 37 RIBU,panas special spicy large,10,37500,375000
fyi order sapi berlemak dua porsi pcs harga 20500,sapi berlemak,2,20500,41000
MAU PESEN DUA PORXI TOPPING SAMBAL BALADO DONG,topping sambal balado,2,28000,56000
LOH BLY 3 PORSI CHAMOMILE TEA RP. 46000,chamomile tea,3,46000,138000
Kak minta lima susu aren ya harga harga 26k,susu aren,5,26000,130000
Bisa gak order dua dessert red velvet box harga 13000,dessert red velvet box,2,13000,26000
Mau pesen satu extra fried wonton dong,extra fried wonton,1,14500,14500
Hehe order lima porxi animal style fries total harganya 85000,animal style fries,5,17000,85000
"USUS 2 YA KAK, HRGA RP. 13500",usus,2,13500,27000
NITIP LEMONADE ALOEVERA YA 3 AJA HARGA RP5000,lemonade aloevera,3,5000,15000
BELI DUA PORSI WAK FEN KWETIAU 49K,wak fen kwetiau,2,49500,99000
"pesen 5 ramen belly beef spicy kak, total rp. 102500",ramen belly beef spicy,5,20500,102500
"Pesen 4 porsi teh jelly kak, total 60000",teh jelly,4,15000,60000
NIH KAK ADA CARAMEL MACHIATO H? MAU 4 PORSI 46000 RB,caramel machiato h,4,46000,184000
nitip wedang jahe prabu ya 4 porcy aja harga harganya 48500,wedang jahe prabu,4,48500,194000
WKWK MAU DONGG 4 PORSI BAKPAO CHIK YEN AYAM HARGA RP 9500,bakpao chik yen ayam,4,9500,38000
Nih kak 1 biji kacang tanah kacang sari harga 21k ya,kacang tanah kacang sari,1,21000,21000
Halo kak mau beli dua banana harganya 23k,banana,2,23000,46000
bisa gak order tiga porsi terriyaki furai don harga 28000,terriyaki furai don,3,28000,84000
Kak 3 mie pangsit 11500 rb ya,mie pangsit,3,11500,34500
Fyi kak lima porsi es godir rp13500 ya,es godir,5,13500,67500
BISA GAK ORDER TIGA PORSI INDOMIE GORENG SPECIAL HARGA RP 21000,indomie goreng special,3,21000,63000
5 roti gula berapa kak?,roti gula,5,32500,162500
Order tawar gandum besar 3 porsi pcs hrga rp11000,tawar gandum besar,3,11000,33000
order 3 american cheese loaf total 136k,american cheese loaf,3,45500,136500
SEPORCY MARIE CRUSHER BERAPA KAK?,marie crusher,1,21500,21500
mau pesen tiga classic chicken burger dong,classic chicken burger,3,12000,36000
pesen toast chicken sebanyak 3 porsi harga rp. 19000,toast chicken,3,19000,57000
Kak minta 4 porxi bamboo cheese ya harga rp5000,bamboo cheese,4,5000,20000
sih bly roti kukus nenaspineapple set dulu 5 porsi 21k,roti kukus nenaspineapple set,5,21500,107500
"Nih mau 10 porxi mango mambo large, harganya 47000 kan?",mango mambo large,10,47000,470000
halo kak mau bly tiga porcy mie kremes toples harganya 33000,mie kremes toples,3,33000,99000
Beli 4 porsi chiffon cake chocolate 8k,chiffon cake chocolate,4,8500,34000
KAK LIMA JAMUR TIRAM TUMIS TERI 32 RIBU YA,jamur tiram tumis teri,5,32500,162500
beli 5 porsi risol daging rp 36500,risol daging,5,36500,182500
TOLONG PESENIN 3 SARSAPARILLA DE DALBO DONG RP. 30000,sarsaparilla de dalbo,3,30000,90000
4 PORSI MIE GOBYOSS SIOMAY BERAPA KAK?,mie gobyoss siomay,4,44000,176000
HEHE TOLONG PESANIN DUA ABON GULUNG DONK HARGA 30K,abon gulung,2,30500,61000
btw tolong pesanin sepuluh rice sausage dong 7500,rice sausage,10,7500,75000
Mau dongg 3 vegan coconut harga 20000,vegan coconut,3,20000,60000
Order nutrisari cincau 4 porsi pcs harga rp. 15500,nutrisari cincau,4,15500,62000
MAU PESEN 10 KWETIAU GORENG DONK,kwetiau goreng,10,10500,105000
Kak ada cripsy chicken cheese? mau satu 43 ribu,cripsy chicken cheese,1,43000,43000
nitip pukis vanilla ya lima porcy aja harga 26k,pukis vanilla,5,26500,132500
SIH KAK MINTA TIGA PORSI STARGAZING YA HARGA 36K,stargazing,3,36500,109500
Sih 2 biji cah tauge ikan teri aja kak hrg 50000 rb,cah tauge ikan teri,2,50000,100000
Sih kak 10 porsi cafe americano hot 36500 rb ya,cafe americano hot,10,36500,365000
BISA GAK ORDER 5 PORSI SEBLAK BANDUNG BAKSO HRG 28K,seblak bandung bakso,5,28500,142500
psean whole cheese mushroom sebanyak 3 harga harganya 42000,whole cheese mushroom,3,42000,126000
hehe order calzone beef sausage original 2 biji pcs harga 6500 rb,calzone beef sausage original,2,6500,13000
"Wkwk chocolate cream horn lima ya kak, harga rp. 39500",chocolate cream horn,5,39500,197500
HALO KAK MAU BELI 1 BIJI TEH MADU LEMON HARGANYA RP. 7000,teh madu lemon,1,7000,7000
Ygy pesan es kawista 2 biji 48k,es kawista,2,48500,97000
tolong pesanin tiga porsi sexyroni whole dong harga 49k,sexyroni whole,3,49500,148500
"PESEN 4 PORSI ROTI SARDENTUNA KAK, TOTAL 88000",roti sardentuna,4,22000,88000
"Pesen 5 porsi redvelvet creamy premium kak, total 115000 rb",redvelvet creamy premium,5,23000,115000
kak 10 porsi jagung muda kuning mentah rp 39500 ya,jagung muda kuning mentah,10,39500,395000
"Pesen 10 ayam bakar ts kak, total 60 ribu",ayam bakar ts,10,6000,60000
KAK MINTA TIGA KRISPY BARBAR ALA CARTE YA HARGA 4000,krispy barbar ala carte,3,4000,12000
pesan coffee cheese brulee sebanyak 10 hrga rp. 7500,coffee cheese brulee,10,7500,75000
mau dongg 10 sayur bayam harga harganya 42500,sayur bayam,10,42500,425000
Fyi kak minta 3 burger daging ayam ya harga 26 ribu,burger daging ayam,3,26000,78000
order gyoza lima porsi pcs harga harganya 13000,gyoza,5,13000,65000
sih beli sepuluh roti canai meses 8500,roti canai meses,10,8500,85000
Order spesial telor ayam 2 pcs harga 4 ribu,spesial telor ayam,2,4000,8000
"sih mau empat sosis solo, rp27500 kan?",sosis solo,4,27500,110000
nih kak minta 3 porsi tepung jalejo ya harga 45500 rb,tepung jalejo,3,45500,136500
Nih tolong pesanin tiga sanger coklat hot dong harga 13k,sanger coklat hot,3,13000,39000
Mau pesen 10 rosela dong,rosela,10,10500,105000
Mau pesen 5 porsi bothok tongkol dong,bothok tongkol,5,33500,167500
Ygy order hot longblack 10 porsi pcs harga harganya 35000,hot longblack,10,35000,350000
mau pesen 4 porsi ayam tiga rasa dong,ayam tiga rasa,4,4500,18000
kak ada es lemon? mau 5 rp8500,es lemon,5,8500,42500
"Pesen empat haruan bali kak, total 196k",haruan bali,4,49000,196000
belli tiga crispy roast pork rp. 4500,crispy roast pork,3,4500,13500
ORDER NASI KEPITING NONGKI LIMA PCS HRG RP 30000,nasi kepiting nongki,5,30000,150000
beli 4 ayam kota belur cabe ijo 2000,ayam kota belur cabe ijo,4,2000,8000
Ygy 10 set kaya butter french toast aja kak harga rp. 15000,set kaya butter french toast,10,15000,150000
wkwk bisa gak order lima beef curry rice harga harganya 47500,beef curry rice,5,47500,237500
"btw mau seporsi teh tawar hot, harga 25k kan?",teh tawar hot,1,25000,25000
loh kak minta sepuluh dawet durian ori ya harga rp. 33500,dawet durian ori,10,33500,335000
nitip sadas paha bawah ya 1 aja hrga 49000,sadas paha bawah,1,49000,49000
SEPULUH IKAN SIDAT SEGAR BERAPA KAK?,ikan sidat segar,10,39500,395000
Sih mau dongg 1 biji ikan baung bakar harga rp16500,ikan baung bakar,1,16500,16500
tolong pesanin 4 blue latte donk harganya 15500,blue latte,4,15500,62000
order combo cheese crackling amo 1 aja pcs harga 38000,combo cheese crackling amo,1,38000,38000
PESAN MIX N MAX TAKOYAKI KANSAI SEBANYAK 2 PORXI HARGA RP. 40500,mix n max takoyaki kansai,2,40500,81000
"MAU EMPAT SEI AYAM SMALL, 2 RIBU KAN?",sei ayam small,4,2500,10000
Halo kak mau beli 5 daun ubi kuning segar harganya 28500,daun ubi kuning segar,5,28500,142500
mau pesen empat chicken karage with egg dong,chicken karage with egg,4,17000,68000
HALO KAK MAU BELI TIGA NASI BUNGKUS  KERANG HARGANYA RP43000,nasi bungkus  kerang,3,43000,129000
"Fyi bakpao obakdaging kecap empat ya kak, harga 10 ribu",bakpao obakdaging kecap,4,10500,42000
KAK ADA MIE SPICY CHICKEN KOREA SOUP? MAU 5 20 RIBU,mie spicy chicken korea soup,5,20500,102500
"cake kurma 5 porcy ya kak, harga 49000",cake kurma,5,49000,245000
nih 2 biji nasi goreng special nongki berapa kak?,nasi goreng special nongki,2,47000,94000
kak sepuluh chocolatte panas rp 49000 ya,chocolatte panas,10,49000,490000
Order 3 pudding kelengkeng total 18k,pudding kelengkeng,3,6000,18000
ORDER 4 PORSI COFFEE LATTE JUMBO TOTAL 144000 RB,coffee latte jumbo,4,36000,144000
hehe nitip brown sugar large ya dua porsi aja harga rp7500,brown sugar large,2,7500,15000
BISA GAK ORDER 4 DAUN OYONG SEGAR HARGA HARGA 15K,daun oyong segar,4,15000,60000
Tiga porsi sei sapi saus telur asin berapa kak?,sei sapi saus telur asin,3,30000,90000
Pesan milk shake mango small sebanyak 4 porsi harga 23k,milk shake mango small,4,23500,94000
Ygy bisa gak order 2 porcy lychee tea medium harga harganya 16500,lychee tea medium,2,16500,33000
Order elbidaya regal affogato 10 porcy pcs hrga rp. 20000,elbidaya regal affogato,10,20000,200000
"nasi kari limasari nasi sereh dua ya kak, harga 37500",nasi kari limasari nasi sereh,2,37500,75000
order 1 long black large total rp. 27500,long black large,1,27500,27500
BISA GAK ORDER 5 PORSI TOPPING MAKARONI SPIRAL HARGA 43000 RB,topping makaroni spiral,5,43000,215000
Btw kak minta sepuluh wortel segar ya hrg rp23500,wortel segar,10,23500,235000
Kak ada ice lime tea? mau empat 7k,ice lime tea,4,7500,30000
ORDER TIGA ICE PREMIUM SOGEM TOTAL HARGA 9K,ice premium sogem,3,3000,9000
"Oyek dari singkong dua porsi ya kak, harga harga 22k",oyek dari singkong,2,22000,44000
Beli ayam geprek menuju kaya dulu 3 porsi 24000 rb,ayam geprek menuju kaya,3,24000,72000
Hehe order roti coklat bulat tiga pcs harga 48 ribu,roti coklat bulat,3,48500,145500
Mau pesen 3 tea tarik cincau iced dong,tea tarik cincau iced,3,39500,118500
NITIP UDANG SAMBAL BAWANG GORENG YA 4 PORSI AJA HARGA RP. 38000,udang sambal bawang goreng,4,38000,152000
"MAU 5 PORCY LONGEVITY RING M, HRGA 33K KAN?",longevity ring m,5,33500,167500
nitip seblak telor tulang ya 1 aja aja harga 44500 rb,seblak telor tulang,1,44500,44500
