"text";"orders";"orders_str";"num_items";"grand_total"
"kak satu pokat kocok  milo 26000";"[{""product"":""pokat kocok  milo"",""quantity"":1,""price"":26000,""total_price"":26000}]";"pokat kocok  milo:1:26000";"1";"26000"
"seporsi iced hazelnut latte Rp11000";"[{""product"":""iced hazelnut latte"",""quantity"":1,""price"":11000,""total_price"":11000}]";"iced hazelnut latte:1:11000";"1";"11000"
"wkwk 1 pokpia kukus 26500";"[{""product"":""pokpia kukus"",""quantity"":1,""price"":26500,""total_price"":26500}]";"pokpia kukus:1:26500";"1";"26500"
"kak 4 cah jamur ayam rp 7500";"[{""product"":""cah jamur ayam"",""quantity"":4,""price"":7500,""total_price"":30000}]";"cah jamur ayam:4:7500";"1";"30000"
"2 porsi nasi udang asam pedas 4500";"[{""product"":""nasi udang asam pedas"",""quantity"":2,""price"":4500,""total_price"":9000}]";"nasi udang asam pedas:2:4500";"1";"9000"
"satu vanilla frappresso 21000 + 5 ice coffe caramel rp 15500";"[{""product"":""vanilla frappresso"",""quantity"":1,""price"":21000,""total_price"":21000},{""product"":""ice coffe caramel"",""quantity"":5,""price"":15500,""total_price"":77500}]";"vanilla frappresso:1:21000|ice coffe caramel:5:15500";"2";"98500"
"kak 1 siomay goreng Rp37000 sama satu jalapeno cheddar bagel Rp26000 sama seporsi hazelnut frappresso Rp24500";"[{""product"":""siomay goreng"",""quantity"":1,""price"":37000,""total_price"":37000},{""product"":""jalapeno cheddar bagel"",""quantity"":1,""price"":26000,""total_price"":26000},{""product"":""hazelnut frappresso"",""quantity"":1,""price"":24500,""total_price"":24500}]";"siomay goreng:1:37000|jalapeno cheddar bagel:1:26000|hazelnut frappresso:1:24500";"3";"87500"
"wkwk dua seblak batagor  pop ice Rp15000";"[{""product"":""seblak batagor  pop ice"",""quantity"":2,""price"":15000,""total_price"":30000}]";"seblak batagor  pop ice:2:15000";"1";"30000"
"kak 2 ice milo latte rp 18500";"[{""product"":""ice milo latte"",""quantity"":2,""price"":18500,""total_price"":37000}]";"ice milo latte:2:18500";"1";"37000"
"kak lauk aja ayam rp 26000 sama 1 dolce latte rp 33500";"[{""product"":""lauk aja ayam"",""quantity"":1,""price"":26000,""total_price"":26000},{""product"":""dolce latte"",""quantity"":1,""price"":33500,""total_price"":33500}]";"lauk aja ayam:1:26000|dolce latte:1:33500";"2";"59500"
"kak 5 sosis bakar jumbo 31000";"[{""product"":""sosis bakar jumbo"",""quantity"":5,""price"":31000,""total_price"":155000}]";"sosis bakar jumbo:5:31000";"1";"155000"
"kak seporsi topping siomay kecil 43000";"[{""product"":""topping siomay kecil"",""quantity"":1,""price"":43000,""total_price"":43000}]";"topping siomay kecil:1:43000";"1";"43000"
"dua burger daging sapi special rp 10500 dan 3 bimbimbapp nasi campur korea 6000";"[{""product"":""burger daging sapi special"",""quantity"":2,""price"":10500,""total_price"":21000},{""product"":""bimbimbapp nasi campur korea"",""quantity"":3,""price"":6000,""total_price"":18000}]";"burger daging sapi special:2:10500|bimbimbapp nasi campur korea:3:6000";"2";"39000"
"nasi pecelurap empal Rp44000";"[{""product"":""nasi pecelurap empal"",""quantity"":1,""price"":44000,""total_price"":44000}]";"nasi pecelurap empal:1:44000";"1";"44000"
"pisang goreng crispy Rp36000";"[{""product"":""pisang goreng crispy"",""quantity"":1,""price"":36000,""total_price"":36000}]";"pisang goreng crispy:1:36000";"1";"36000"
"wkwk red velvet h rp 35500 sama esteh avocado medium Rp41500";"[{""product"":""red velvet h"",""quantity"":1,""price"":35500,""total_price"":35500},{""product"":""esteh avocado medium"",""quantity"":1,""price"":41500,""total_price"":41500}]";"red velvet h:1:35500|esteh avocado medium:1:41500";"2";"77000"
"5 cah baby buncis Rp38000 + seporsi nasi pecel telor rp 16000";"[{""product"":""cah baby buncis"",""quantity"":5,""price"":38000,""total_price"":190000},{""product"":""nasi pecel telor"",""quantity"":1,""price"":16000,""total_price"":16000}]";"cah baby buncis:5:38000|nasi pecel telor:1:16000";"2";"206000"
"seporsi bantal rp 32000 + cheese ttoekbokki Rp46500 + penyetan bebek  nasi rp 29500";"[{""product"":""bantal"",""quantity"":1,""price"":32000,""total_price"":32000},{""product"":""cheese ttoekbokki"",""quantity"":1,""price"":46500,""total_price"":46500},{""product"":""penyetan bebek  nasi"",""quantity"":1,""price"":29500,""total_price"":29500}]";"bantal:1:32000|cheese ttoekbokki:1:46500|penyetan bebek  nasi:1:29500";"3";"108000"
"kak 1 ikan bakar garam Rp6500 dan dua hot kopi tem 36500 dan 1 yeoksam patbingso 13000";"[{""product"":""ikan bakar garam"",""quantity"":1,""price"":6500,""total_price"":6500},{""product"":""hot kopi tem"",""quantity"":2,""price"":36500,""total_price"":73000},{""product"":""yeoksam patbingso"",""quantity"":1,""price"":13000,""total_price"":13000}]";"ikan bakar garam:1:6500|hot kopi tem:2:36500|yeoksam patbingso:1:13000";"3";"92500"
"wkwk seporsi pandan jade slice rp 17000 + satu butterkill double Rp45000";"[{""product"":""pandan jade slice"",""quantity"":1,""price"":17000,""total_price"":17000},{""product"":""butterkill double"",""quantity"":1,""price"":45000,""total_price"":45000}]";"pandan jade slice:1:17000|butterkill double:1:45000";"2";"62000"
"wkwk satu cafe latte hot 5000";"[{""product"":""cafe latte hot"",""quantity"":1,""price"":5000,""total_price"":5000}]";"cafe latte hot:1:5000";"1";"5000"
"kak 5 milo pyramid 3500 sama dua pancong keju susu l Rp33000";"[{""product"":""milo pyramid"",""quantity"":5,""price"":3500,""total_price"":17500},{""product"":""pancong keju susu l"",""quantity"":2,""price"":33000,""total_price"":66000}]";"milo pyramid:5:3500|pancong keju susu l:2:33000";"2";"83500"
"noona chiken wrap spicy rp 17500";"[{""product"":""noona chiken wrap spicy"",""quantity"":1,""price"":17500,""total_price"":17500}]";"noona chiken wrap spicy:1:17500";"1";"17500"
"wkwk 2 porsi noodle bowl ayam rp 11500";"[{""product"":""noodle bowl ayam"",""quantity"":2,""price"":11500,""total_price"":23000}]";"noodle bowl ayam:2:11500";"1";"23000"
"wkwk cheese crackling Rp30000";"[{""product"":""cheese crackling"",""quantity"":1,""price"":30000,""total_price"":30000}]";"cheese crackling:1:30000";"1";"30000"
"wkwk seporsi french fries medium rp 37500";"[{""product"":""french fries medium"",""quantity"":1,""price"":37500,""total_price"":37500}]";"french fries medium:1:37500";"1";"37500"
"wkwk seporsi nasi ayam geprek mozarella Rp40000";"[{""product"":""nasi ayam geprek mozarella"",""quantity"":1,""price"":40000,""total_price"":40000}]";"nasi ayam geprek mozarella:1:40000";"1";"40000"
"kak 2 porsi opak mie gb sambal matah 37500";"[{""product"":""opak mie gb sambal matah"",""quantity"":2,""price"":37500,""total_price"":75000}]";"opak mie gb sambal matah:2:37500";"1";"75000"
"wkwk nutella bombolone Rp21000";"[{""product"":""nutella bombolone"",""quantity"":1,""price"":21000,""total_price"":21000}]";"nutella bombolone:1:21000";"1";"21000"
"wkwk satu rice popcorn 32500";"[{""product"":""rice popcorn"",""quantity"":1,""price"":32500,""total_price"":32500}]";"rice popcorn:1:32500";"1";"32500"
"kak special fried banana Rp2000 dan 4 getuk goreng Rp41500 dan satu sambal teri kacang rp 30000";"[{""product"":""special fried banana"",""quantity"":1,""price"":2000,""total_price"":2000},{""product"":""getuk goreng"",""quantity"":4,""price"":41500,""total_price"":166000},{""product"":""sambal teri kacang"",""quantity"":1,""price"":30000,""total_price"":30000}]";"special fried banana:1:2000|getuk goreng:4:41500|sambal teri kacang:1:30000";"3";"198000"
"wkwk 1 gyu chiizu udon Rp27000";"[{""product"":""gyu chiizu udon"",""quantity"":1,""price"":27000,""total_price"":27000}]";"gyu chiizu udon:1:27000";"1";"27000"
"satu sostel rp 27000 + seporsi jahe merahhabbatusaudaginsengmadumenghangatkan tubuh rp 14500";"[{""product"":""sostel"",""quantity"":1,""price"":27000,""total_price"":27000},{""product"":""jahe merahhabbatusaudaginsengmadumenghangatkan tubuh"",""quantity"":1,""price"":14500,""total_price"":14500}]";"sostel:1:27000|jahe merahhabbatusaudaginsengmadumenghangatkan tubuh:1:14500";"2";"41500"
"wkwk 4 bakso kriuk Rp30000 dan 2 porsi sapi daleman segar rp 6000";"[{""product"":""bakso kriuk"",""quantity"":4,""price"":30000,""total_price"":120000},{""product"":""sapi daleman segar"",""quantity"":2,""price"":6000,""total_price"":12000}]";"bakso kriuk:4:30000|sapi daleman segar:2:6000";"2";"132000"
"kak 2 porsi jagung putih pipil lama rp 29000 sama 2 kacang endel biji Rp30500";"[{""product"":""jagung putih pipil lama"",""quantity"":2,""price"":29000,""total_price"":58000},{""product"":""kacang endel biji"",""quantity"":2,""price"":30500,""total_price"":61000}]";"jagung putih pipil lama:2:29000|kacang endel biji:2:30500";"2";"119000"
"kak satu pop ice es doger rp 46500";"[{""product"":""pop ice es doger"",""quantity"":1,""price"":46500,""total_price"":46500}]";"pop ice es doger:1:46500";"1";"46500"
"choco roll 38000 + 5 juice melon 50000 + satu nasi ayam kongdhe Rp8500";"[{""product"":""choco roll"",""quantity"":1,""price"":38000,""total_price"":38000},{""product"":""juice melon"",""quantity"":5,""price"":50000,""total_price"":250000},{""product"":""nasi ayam kongdhe"",""quantity"":1,""price"":8500,""total_price"":8500}]";"choco roll:1:38000|juice melon:5:50000|nasi ayam kongdhe:1:8500";"3";"296500"
"wkwk satu vanila c rp 31500 dan 2 porsi ice milky brown sugar 46000";"[{""product"":""vanila c"",""quantity"":1,""price"":31500,""total_price"":31500},{""product"":""ice milky brown sugar"",""quantity"":2,""price"":46000,""total_price"":92000}]";"vanila c:1:31500|ice milky brown sugar:2:46000";"2";"123500"
"1 lawar kacang rp 9000";"[{""product"":""lawar kacang"",""quantity"":1,""price"":9000,""total_price"":9000}]";"lawar kacang:1:9000";"1";"9000"
"wkwk 2 porsi salmon pepper rice Rp32500";"[{""product"":""salmon pepper rice"",""quantity"":2,""price"":32500,""total_price"":65000}]";"salmon pepper rice:2:32500";"1";"65000"
"satu rumput laut rp 4500";"[{""product"":""rumput laut"",""quantity"":1,""price"":4500,""total_price"":4500}]";"rumput laut:1:4500";"1";"4500"
"wkwk 4 choco roll rp 35000 dan es choco milo m Rp23000";"[{""product"":""choco roll"",""quantity"":4,""price"":35000,""total_price"":140000},{""product"":""es choco milo m"",""quantity"":1,""price"":23000,""total_price"":23000}]";"choco roll:4:35000|es choco milo m:1:23000";"2";"163000"
"wkwk dua fish bite spicy rp 27000 dan fore wallmug black Rp30500";"[{""product"":""fish bite spicy"",""quantity"":2,""price"":27000,""total_price"":54000},{""product"":""fore wallmug black"",""quantity"":1,""price"":30500,""total_price"":30500}]";"fish bite spicy:2:27000|fore wallmug black:1:30500";"2";"84500"
"wkwk 2 hepia bakwan udang Rp38500 dan kopi sadis susu original 25000";"[{""product"":""hepia bakwan udang"",""quantity"":2,""price"":38500,""total_price"":77000},{""product"":""kopi sadis susu original"",""quantity"":1,""price"":25000,""total_price"":25000}]";"hepia bakwan udang:2:38500|kopi sadis susu original:1:25000";"2";"102000"
"wkwk seporsi sosis egg roll rp 22000";"[{""product"":""sosis egg roll"",""quantity"":1,""price"":22000,""total_price"":22000}]";"sosis egg roll:1:22000";"1";"22000"
"kak satu christmas hampers 41500";"[{""product"":""christmas hampers"",""quantity"":1,""price"":41500,""total_price"":41500}]";"christmas hampers:1:41500";"1";"41500"
"wkwk 1 capcay spesial 21500 sama cream puff rp 46000";"[{""product"":""capcay spesial"",""quantity"":1,""price"":21500,""total_price"":21500},{""product"":""cream puff"",""quantity"":1,""price"":46000,""total_price"":46000}]";"capcay spesial:1:21500|cream puff:1:46000";"2";"67500"
"kak satu odeng steam saos gochujang rp 42500";"[{""product"":""odeng steam saos gochujang"",""quantity"":1,""price"":42500,""total_price"":42500}]";"odeng steam saos gochujang:1:42500";"1";"42500"
"wkwk 1 es orange booster Rp13500 + satu udang goreng saos mentega 41500 + es jeruk manis small 2500";"[{""product"":""es orange booster"",""quantity"":1,""price"":13500,""total_price"":13500},{""product"":""udang goreng saos mentega"",""quantity"":1,""price"":41500,""total_price"":41500},{""product"":""es jeruk manis small"",""quantity"":1,""price"":2500,""total_price"":2500}]";"es orange booster:1:13500|udang goreng saos mentega:1:41500|es jeruk manis small:1:2500";"3";"57500"
"wkwk satu spaghetti with cheese truffle sauce rp 28500";"[{""product"":""spaghetti with cheese truffle sauce"",""quantity"":1,""price"":28500,""total_price"":28500}]";"spaghetti with cheese truffle sauce:1:28500";"1";"28500"
"wkwk woy corn dog sausage 20500";"[{""product"":""woy corn dog sausage"",""quantity"":1,""price"":20500,""total_price"":20500}]";"woy corn dog sausage:1:20500";"1";"20500"
"kak 2 porsi es kopi gula aren Rp49500";"[{""product"":""es kopi gula aren"",""quantity"":2,""price"":49500,""total_price"":99000}]";"es kopi gula aren:2:49500";"1";"99000"
"seporsi chris chocolate cake rp 25000";"[{""product"":""chris chocolate cake"",""quantity"":1,""price"":25000,""total_price"":25000}]";"chris chocolate cake:1:25000";"1";"25000"
"5 ice frappucino rp 49000";"[{""product"":""ice frappucino"",""quantity"":5,""price"":49000,""total_price"":245000}]";"ice frappucino:5:49000";"1";"245000"
"kak 1 baso aci dumpling chicken 30000 + 3 roti sosis keju rp 17000";"[{""product"":""baso aci dumpling chicken"",""quantity"":1,""price"":30000,""total_price"":30000},{""product"":""roti sosis keju"",""quantity"":3,""price"":17000,""total_price"":51000}]";"baso aci dumpling chicken:1:30000|roti sosis keju:3:17000";"2";"81000"
"rasi beras singkong 15000";"[{""product"":""rasi beras singkong"",""quantity"":1,""price"":15000,""total_price"":15000}]";"rasi beras singkong:1:15000";"1";"15000"
"wkwk 1 korean fried pork bowl rp 22500";"[{""product"":""korean fried pork bowl"",""quantity"":1,""price"":22500,""total_price"":22500}]";"korean fried pork bowl:1:22500";"1";"22500"
"5 sweet onion small Rp10500";"[{""product"":""sweet onion small"",""quantity"":5,""price"":10500,""total_price"":52500}]";"sweet onion small:5:10500";"1";"52500"
"kak seporsi combo ayam geprek original 22500 sama tiga cosa nostra rp 33000";"[{""product"":""combo ayam geprek original"",""quantity"":1,""price"":22500,""total_price"":22500},{""product"":""cosa nostra"",""quantity"":3,""price"":33000,""total_price"":99000}]";"combo ayam geprek original:1:22500|cosa nostra:3:33000";"2";"121500"
"wkwk nasi sereh Rp27500 sama satu rujak jambu nanas jumbo Rp46000";"[{""product"":""nasi sereh"",""quantity"":1,""price"":27500,""total_price"":27500},{""product"":""rujak jambu nanas jumbo"",""quantity"":1,""price"":46000,""total_price"":46000}]";"nasi sereh:1:27500|rujak jambu nanas jumbo:1:46000";"2";"73500"
"kak dua cheese streak rp 42500";"[{""product"":""cheese streak"",""quantity"":2,""price"":42500,""total_price"":85000}]";"cheese streak:2:42500";"1";"85000"
"kak satu tempura tobiko roll Rp15500 dan satu pancong strawberry rp 20000";"[{""product"":""tempura tobiko roll"",""quantity"":1,""price"":15500,""total_price"":15500},{""product"":""pancong strawberry"",""quantity"":1,""price"":20000,""total_price"":20000}]";"tempura tobiko roll:1:15500|pancong strawberry:1:20000";"2";"35500"
"2 porsi soes fla 5000";"[{""product"":""soes fla"",""quantity"":2,""price"":5000,""total_price"":10000}]";"soes fla:2:5000";"1";"10000"
"kak sanger coklat rp 30000 sama satu ayam paha atas hot lava 14500";"[{""product"":""sanger coklat"",""quantity"":1,""price"":30000,""total_price"":30000},{""product"":""ayam paha atas hot lava"",""quantity"":1,""price"":14500,""total_price"":14500}]";"sanger coklat:1:30000|ayam paha atas hot lava:1:14500";"2";"44500"
"wkwk kiwi tea 18000";"[{""product"":""kiwi tea"",""quantity"":1,""price"":18000,""total_price"":18000}]";"kiwi tea:1:18000";"1";"18000"
"2 porsi es drink beng beng 46500 + dua black tea ice Rp43500 + pancong coklat  pisbak cokju 2000";"[{""product"":""es drink beng beng"",""quantity"":2,""price"":46500,""total_price"":93000},{""product"":""black tea ice"",""quantity"":2,""price"":43500,""total_price"":87000},{""product"":""pancong coklat  pisbak cokju"",""quantity"":1,""price"":2000,""total_price"":2000}]";"es drink beng beng:2:46500|black tea ice:2:43500|pancong coklat  pisbak cokju:1:2000";"3";"182000"
"kak roti keset coklat Rp9500";"[{""product"":""roti keset coklat"",""quantity"":1,""price"":9500,""total_price"":9500}]";"roti keset coklat:1:9500";"1";"9500"
"wkwk seporsi ifumie udang 8500";"[{""product"":""ifumie udang"",""quantity"":1,""price"":8500,""total_price"":8500}]";"ifumie udang:1:8500";"1";"8500"
"2 crispy kani rp 43000 + 5 oboost  orange boost rp 6000";"[{""product"":""crispy kani"",""quantity"":2,""price"":43000,""total_price"":86000},{""product"":""oboost  orange boost"",""quantity"":5,""price"":6000,""total_price"":30000}]";"crispy kani:2:43000|oboost  orange boost:5:6000";"2";"116000"
"2 porsi roti bakar skippy rp 49500 dan nadi goreng suwir Rp41000";"[{""product"":""roti bakar skippy"",""quantity"":2,""price"":49500,""total_price"":99000},{""product"":""nadi goreng suwir"",""quantity"":1,""price"":41000,""total_price"":41000}]";"roti bakar skippy:2:49500|nadi goreng suwir:1:41000";"2";"140000"
"kak satu cuka 24000 dan 5 coffee milk brown sugar hot Rp10500";"[{""product"":""cuka"",""quantity"":1,""price"":24000,""total_price"":24000},{""product"":""coffee milk brown sugar hot"",""quantity"":5,""price"":10500,""total_price"":52500}]";"cuka:1:24000|coffee milk brown sugar hot:5:10500";"2";"76500"
"wkwk 2 porsi kue bohong rp 3500";"[{""product"":""kue bohong"",""quantity"":2,""price"":3500,""total_price"":7000}]";"kue bohong:2:3500";"1";"7000"
"sup tomyam rp 20500";"[{""product"":""sup tomyam"",""quantity"":1,""price"":20500,""total_price"":20500}]";"sup tomyam:1:20500";"1";"20500"
"kak seporsi chocolate mousse 40000";"[{""product"":""chocolate mousse"",""quantity"":1,""price"":40000,""total_price"":40000}]";"chocolate mousse:1:40000";"1";"40000"
"wkwk tiga matcha dessert box rp 25000 dan 1 corndog original moza mie 32000 dan 5 onigiri japanese chicken curry 3000";"[{""product"":""matcha dessert box"",""quantity"":3,""price"":25000,""total_price"":75000},{""product"":""corndog original moza mie"",""quantity"":1,""price"":32000,""total_price"":32000},{""product"":""onigiri japanese chicken curry"",""quantity"":5,""price"":3000,""total_price"":15000}]";"matcha dessert box:3:25000|corndog original moza mie:1:32000|onigiri japanese chicken curry:5:3000";"3";"122000"
"kak 4 bolu kukus Rp34000";"[{""product"":""bolu kukus"",""quantity"":4,""price"":34000,""total_price"":136000}]";"bolu kukus:4:34000";"1";"136000"
"kak satu plankton ramen rp 7000";"[{""product"":""plankton ramen"",""quantity"":1,""price"":7000,""total_price"":7000}]";"plankton ramen:1:7000";"1";"7000"
"kak seporsi kopi kocok telur Rp15000 + 5 cap cay goreng Rp36000";"[{""product"":""kopi kocok telur"",""quantity"":1,""price"":15000,""total_price"":15000},{""product"":""cap cay goreng"",""quantity"":5,""price"":36000,""total_price"":180000}]";"kopi kocok telur:1:15000|cap cay goreng:5:36000";"2";"195000"
"kak 2 porsi brown sugar thai tea m 17000 + mango ibiza Rp29500";"[{""product"":""brown sugar thai tea m"",""quantity"":2,""price"":17000,""total_price"":34000},{""product"":""mango ibiza"",""quantity"":1,""price"":29500,""total_price"":29500}]";"brown sugar thai tea m:2:17000|mango ibiza:1:29500";"2";"63500"
"es susu kedele small 46500";"[{""product"":""es susu kedele small"",""quantity"":1,""price"":46500,""total_price"":46500}]";"es susu kedele small:1:46500";"1";"46500"
"tauco genjer Rp49500 sama dua tahu pletok Rp48500 sama 3 katak rp 23000";"[{""product"":""tauco genjer"",""quantity"":1,""price"":49500,""total_price"":49500},{""product"":""tahu pletok"",""quantity"":2,""price"":48500,""total_price"":97000},{""product"":""katak"",""quantity"":3,""price"":23000,""total_price"":69000}]";"tauco genjer:1:49500|tahu pletok:2:48500|katak:3:23000";"3";"215500"
"wkwk satu butterscotch coffee latte Rp5500 dan seporsi special kebab komplit extra keju 12500";"[{""product"":""butterscotch coffee latte"",""quantity"":1,""price"":5500,""total_price"":5500},{""product"":""special kebab komplit extra keju"",""quantity"":1,""price"":12500,""total_price"":12500}]";"butterscotch coffee latte:1:5500|special kebab komplit extra keju:1:12500";"2";"18000"
"wkwk 2 cilor tusuk 4500 sama 3 ifumie cumi Rp17500";"[{""product"":""cilor tusuk"",""quantity"":2,""price"":4500,""total_price"":9000},{""product"":""ifumie cumi"",""quantity"":3,""price"":17500,""total_price"":52500}]";"cilor tusuk:2:4500|ifumie cumi:3:17500";"2";"61500"
"kak tiga espresso dingin Rp16000 dan satu bebek bakar setengah ekor 48000 dan 1 tuna spicy mayo gunkan rp 38500";"[{""product"":""espresso dingin"",""quantity"":3,""price"":16000,""total_price"":48000},{""product"":""bebek bakar setengah ekor"",""quantity"":1,""price"":48000,""total_price"":48000},{""product"":""tuna spicy mayo gunkan"",""quantity"":1,""price"":38500,""total_price"":38500}]";"espresso dingin:3:16000|bebek bakar setengah ekor:1:48000|tuna spicy mayo gunkan:1:38500";"3";"134500"
"wkwk 5 tahu bakso daging sapi Rp6000";"[{""product"":""tahu bakso daging sapi"",""quantity"":5,""price"":6000,""total_price"":30000}]";"tahu bakso daging sapi:5:6000";"1";"30000"
"kak satu twisted potato Rp14500";"[{""product"":""twisted potato"",""quantity"":1,""price"":14500,""total_price"":14500}]";"twisted potato:1:14500";"1";"14500"
"wkwk satu jajangmyeon 14500 dan 2 porsi sate jeroan 17500";"[{""product"":""jajangmyeon"",""quantity"":1,""price"":14500,""total_price"":14500},{""product"":""sate jeroan"",""quantity"":2,""price"":17500,""total_price"":35000}]";"jajangmyeon:1:14500|sate jeroan:2:17500";"2";"49500"
"2 porsi moicibif spicy Rp2500";"[{""product"":""moicibif spicy"",""quantity"":2,""price"":2500,""total_price"":5000}]";"moicibif spicy:2:2500";"1";"5000"
"makan berdua ox tongue dabu Rp28500";"[{""product"":""makan berdua ox tongue dabu"",""quantity"":1,""price"":28500,""total_price"":28500}]";"makan berdua ox tongue dabu:1:28500";"1";"28500"
"4 cheese stick fries 46500 + tiga biasa ayam tbtelor bebek rp 49500";"[{""product"":""cheese stick fries"",""quantity"":4,""price"":46500,""total_price"":186000},{""product"":""biasa ayam tbtelor bebek"",""quantity"":3,""price"":49500,""total_price"":148500}]";"cheese stick fries:4:46500|biasa ayam tbtelor bebek:3:49500";"2";"334500"
"oyako tori katsu curry rp 29500";"[{""product"":""oyako tori katsu curry"",""quantity"":1,""price"":29500,""total_price"":29500}]";"oyako tori katsu curry:1:29500";"1";"29500"
"wkwk 4 martabak telor samyang rp 46500";"[{""product"":""martabak telor samyang"",""quantity"":4,""price"":46500,""total_price"":186000}]";"martabak telor samyang:4:46500";"1";"186000"
"ikan manyung tanpa nasi rp 10500";"[{""product"":""ikan manyung tanpa nasi"",""quantity"":1,""price"":10500,""total_price"":10500}]";"ikan manyung tanpa nasi:1:10500";"1";"10500"
"wkwk satu roti sobek manis  original rp 9500";"[{""product"":""roti sobek manis  original"",""quantity"":1,""price"":9500,""total_price"":9500}]";"roti sobek manis  original:1:9500";"1";"9500"
"kak 1 sate ayam usus 7500";"[{""product"":""sate ayam usus"",""quantity"":1,""price"":7500,""total_price"":7500}]";"sate ayam usus:1:7500";"1";"7500"
"tiga beef yamin Rp11000 + ice avocado rp 24500";"[{""product"":""beef yamin"",""quantity"":3,""price"":11000,""total_price"":33000},{""product"":""ice avocado"",""quantity"":1,""price"":24500,""total_price"":24500}]";"beef yamin:3:11000|ice avocado:1:24500";"2";"57500"
"kak es rasa strawberry rp 30500";"[{""product"":""es rasa strawberry"",""quantity"":1,""price"":30500,""total_price"":30500}]";"es rasa strawberry:1:30500";"1";"30500"
"sapi saos 9500";"[{""product"":""sapi saos"",""quantity"":1,""price"":9500,""total_price"":9500}]";"sapi saos:1:9500";"1";"9500"
"kak seporsi paru crispy 43000";"[{""product"":""paru crispy"",""quantity"":1,""price"":43000,""total_price"":43000}]";"paru crispy:1:43000";"1";"43000"
"wkwk burger sosis rp 14500";"[{""product"":""burger sosis"",""quantity"":1,""price"":14500,""total_price"":14500}]";"burger sosis:1:14500";"1";"14500"
"kak mie nyemek jumbo 5000";"[{""product"":""mie nyemek jumbo"",""quantity"":1,""price"":5000,""total_price"":5000}]";"mie nyemek jumbo:1:5000";"1";"5000"
"pahit dingin Rp13000 dan 1 special kebab komplit extra keju Rp19500";"[{""product"":""pahit dingin"",""quantity"":1,""price"":13000,""total_price"":13000},{""product"":""special kebab komplit extra keju"",""quantity"":1,""price"":19500,""total_price"":19500}]";"pahit dingin:1:13000|special kebab komplit extra keju:1:19500";"2";"32500"
"seporsi jeruk anget 32500 + latte tiramisu Rp26500";"[{""product"":""jeruk anget"",""quantity"":1,""price"":32500,""total_price"":32500},{""product"":""latte tiramisu"",""quantity"":1,""price"":26500,""total_price"":26500}]";"jeruk anget:1:32500|latte tiramisu:1:26500";"2";"59000"
"wkwk 2 porsi teh  tarik panas  dingin rp 3000 + 5 juice tomat Rp32500";"[{""product"":""teh  tarik panas  dingin"",""quantity"":2,""price"":3000,""total_price"":6000},{""product"":""juice tomat"",""quantity"":5,""price"":32500,""total_price"":162500}]";"teh  tarik panas  dingin:2:3000|juice tomat:5:32500";"2";"168500"
"1 orange blue sea rp 22000";"[{""product"":""orange blue sea"",""quantity"":1,""price"":22000,""total_price"":22000}]";"orange blue sea:1:22000";"1";"22000"
"tiga korean donat keju 35500 + seporsi bolu gulung astor 16500";"[{""product"":""korean donat keju"",""quantity"":3,""price"":35500,""total_price"":106500},{""product"":""bolu gulung astor"",""quantity"":1,""price"":16500,""total_price"":16500}]";"korean donat keju:3:35500|bolu gulung astor:1:16500";"2";"123000"
"wkwk 3 tempe goreng plus nasi rp 16000";"[{""product"":""tempe goreng plus nasi"",""quantity"":3,""price"":16000,""total_price"":48000}]";"tempe goreng plus nasi:3:16000";"1";"48000"
"seporsi es pukat rp 46500 sama seporsi es susu vanila 3500 sama dua inari tuna roll rp 38000";"[{""product"":""es pukat"",""quantity"":1,""price"":46500,""total_price"":46500},{""product"":""es susu vanila"",""quantity"":1,""price"":3500,""total_price"":3500},{""product"":""inari tuna roll"",""quantity"":2,""price"":38000,""total_price"":76000}]";"es pukat:1:46500|es susu vanila:1:3500|inari tuna roll:2:38000";"3";"126000"
"kak 1 es susu dancaw coklat 5500";"[{""product"":""es susu dancaw coklat"",""quantity"":1,""price"":5500,""total_price"":5500}]";"es susu dancaw coklat:1:5500";"1";"5500"
"kak singkong lepas Rp10000";"[{""product"":""singkong lepas"",""quantity"":1,""price"":10000,""total_price"":10000}]";"singkong lepas:1:10000";"1";"10000"
"wkwk mie ayam  telor rp 9000 sama tiga bolu gulung meses 6500 sama seporsi bagelen coklat Rp27000";"[{""product"":""mie ayam  telor"",""quantity"":1,""price"":9000,""total_price"":9000},{""product"":""bolu gulung meses"",""quantity"":3,""price"":6500,""total_price"":19500},{""product"":""bagelen coklat"",""quantity"":1,""price"":27000,""total_price"":27000}]";"mie ayam  telor:1:9000|bolu gulung meses:3:6500|bagelen coklat:1:27000";"3";"55500"
"kak dua dragonfly moscato Rp42500";"[{""product"":""dragonfly moscato"",""quantity"":2,""price"":42500,""total_price"":85000}]";"dragonfly moscato:2:42500";"1";"85000"
"kak 2 porsi wagyu sushi 24500";"[{""product"":""wagyu sushi"",""quantity"":2,""price"":24500,""total_price"":49000}]";"wagyu sushi:2:24500";"1";"49000"
"kak dua nawa nawa rp 10000 dan macadamia white chocolate Rp46500";"[{""product"":""nawa nawa"",""quantity"":2,""price"":10000,""total_price"":20000},{""product"":""macadamia white chocolate"",""quantity"":1,""price"":46500,""total_price"":46500}]";"nawa nawa:2:10000|macadamia white chocolate:1:46500";"2";"66500"
